기준분기,상권구분,상권지역,서비스업종,분기매출,분기당_매출건수,주중_매출금액,주말_매출금액
4,발달상권,대림3동사거리,가구,205619535,220,205619535,0
4,발달상권,송파사거리(송파역),시계및귀금속,47289011,156,47289011,0
4,발달상권,상계백병원,가구,3509705,11,3509705,0
4,전통시장,화곡본동시장,가구,6554404,10,6554404,0
4,발달상권,강남을지병원,가구,125073744,108,125073744,0
4,발달상권,당산2동(영등포우체국),부동산중개업,6137998,235,6137998,0
4,발달상권,서촌(경복궁역),시계및귀금속,19387540,11,19387540,0
4,전통시장,창동골목시장,시계및귀금속,47804308,126,43761158,4043150
4,발달상권,내방역,가전제품,12928367,5,12928367,0
4,발달상권,독산동,가전제품,36000000,10,36000000,0
4,발달상권,구로디지털단지역,시계및귀금속,141507676,998,112423921,29083755
4,발달상권,대학로(혜화역),시계및귀금속,55734816,476,38624291,17110525
4,발달상권,목동신시가지,가구,1194000000,436,1194000000,0
4,발달상권,교대입구교차로,부동산중개업,20000000,8,20000000,0
4,발달상권,월곡역,시계및귀금속,20211937,177,19984837,227100
4,발달상권,롯데백화점(시청광장 지하쇼핑센터),시계및귀금속,8913898632,6249,5856252426,3057646206
4,전통시장,남문시장,시계및귀금속,27888379,46,26099388,1788991
4,발달상권,신정네거리역,시계및귀금속,112154005,364,100592374,11561631
4,전통시장,관악중부시장,시계및귀금속,45385576,179,32992034,12393542
4,발달상권,신정네거리역,가구,1382969118,1370,678589743,704379375
4,전통시장,은행나무시장,시계및귀금속,4292670,15,135120,4157550
4,발달상권,강변역(테크노마트),시계및귀금속,312157595,1944,252502577,59655018
4,전통시장,밤나무골시장,시계및귀금속,4506392,48,1999444,2506948
4,전통시장,회기시장,가전제품,6524062,92,6524062,0
4,발달상권,홍제역,가구,69576839,224,28978875,40597964
4,전통시장,화곡본동시장,시계및귀금속,42382304,146,42382304,0
4,전통시장,송화벽화시장(송화골목시장),시계및귀금속,24175674,136,23954763,220911
4,전통시장,목사랑시장(목4동시장),시계및귀금속,15576215,246,15506052,70163
4,전통시장,고덕 골목형상점가,시계및귀금속,8926698,123,4102558,4824140
4,발달상권,서울남부지방법원,가전제품,651268770,743,440025867,211242903
4,골목상권,신성초등학교,가구,14645178,88,3740544,10904634
4,골목상권,외대앞역 1번,가구,7484019,9,7484019,0
4,골목상권,성수초등학교,가전제품,34370642,92,34370642,0
4,발달상권,목동신시가지,가전제품,4811641,28,4137875,673766
4,발달상권,광화문역,시계및귀금속,29934412,377,29934412,0
4,발달상권,신설동역,시계및귀금속,56566275,283,51805371,4760904
4,발달상권,한성대입구역,시계및귀금속,3292602,171,3292602,0
4,발달상권,종로4가,시계및귀금속,16342701474,18884,12059287323,4283414151
4,전통시장,우림골목시장,시계및귀금속,6390032,45,5656130,733902
4,골목상권,구산보건지소,가구,18976042,136,18976042,0
4,발달상권,홍제역,시계및귀금속,71860126,393,64175813,7684313
4,발달상권,중구청(퇴계로4가),가구,3749284543,6782,3562674864,186609679
4,전통시장,백학시장,시계및귀금속,2046385,10,2046385,0
4,전통시장,노룬산시장(노룬산골목시장),시계및귀금속,32877277,159,29988627,2888650
4,발달상권,충정로역,시계및귀금속,6978610,48,6978610,0
4,골목상권,신월1동주민센터,가구,11896601,40,4598686,7297915
4,발달상권,을지로4가역,시계및귀금속,7736341,88,7300491,435850
4,발달상권,종로4가,가전제품,53340326,95,53221611,118715
4,발달상권,성수역,시계및귀금속,5164586,7,0,5164586
4,전통시장,고척근린시장,시계및귀금속,9582017,37,9582017,0
4,발달상권,종각역,시계및귀금속,2302641872,10953,1808959360,493682512
4,발달상권,서울역,시계및귀금속,83269417,7351,75454255,7815162
4,골목상권,홍릉시장,시계및귀금속,217447,9,217447,0
4,발달상권,고덕역,가구,10626981,50,10626981,0
4,발달상권,한티역,시계및귀금속,6969571,8,6969571,0
4,전통시장,남부종합시장,시계및귀금속,7000000,5,7000000,0
4,발달상권,구의사거리,가구,84998697,366,71106437,13892260
4,골목상권,중암중학교,가전제품,298643,36,210807,87836
4,발달상권,상수역(홍대),가구,219254203,232,117157259,102096944
4,발달상권,화곡역,가전제품,76546526,1529,65201429,11345097
4,골목상권,노원초등학교,가전제품,16162513,14,7136694,9025819
4,발달상권,신논현역,가구,213574324,514,77195539,136378785
4,발달상권,신도림역,가구,3090744269,3077,1395079473,1695664796
4,발달상권,왕십리역(왕십리),시계및귀금속,372668053,4805,213468112,159199941
4,발달상권,뱅뱅사거리,시계및귀금속,8795940,118,8714336,81604
4,발달상권,암사역,시계및귀금속,1827644,108,1671975,155669
4,발달상권,학동역,시계및귀금속,15000000,97,11564199,3435801
4,발달상권,등촌역,시계및귀금속,12555607,50,12555607,0
4,발달상권,장안동사거리,가구,6898488,70,5369442,1529046
4,전통시장,로데오거리상점가,시계및귀금속,336432341,1252,220872455,115559886
4,발달상권,문래역(문래로데오거리),시계및귀금속,641041365,3460,567636114,73405251
4,전통시장,"동원전통종합시장(동원시장, 동원전통시장 상점가)",시계및귀금속,83155132,236,69423485,13731647
4,발달상권,화곡역,시계및귀금속,37615448,106,28777507,8837941
4,전통시장,대조시장,시계및귀금속,17773137,38,773137,17000000
4,발달상권,신사역,가구,894000000,10568,549433088,344566912
4,발달상권,문정역,가구,1738217932,480,1738217932,0
4,발달상권,포스코사거리,가전제품,3891000000,108432,3680709841,210290159
4,발달상권,서울세관,가구,95958240,19,0,95958240
4,발달상권,장지역(가든파이브),시계및귀금속,211415030,2944,36663112,174751918
4,발달상권,경찰병원역,시계및귀금속,18318400,99,12603721,5714679
4,발달상권,서울대입구역,가전제품,2182508291,6999,1515830691,666677600
4,발달상권,삼성중앙역,가구,1063964123,580,348445235,715518888
4,발달상권,서래마을카페거리(서래마을),가구,422934374,1653,232888540,190045834
4,발달상권,학동사거리,시계및귀금속,463012802,260,383415303,79597499
4,전통시장,쌍문시장(쌍문역골목시장),시계및귀금속,18954199,63,14595177,4359022
4,전통시장,아현가구거리상점가,가구,4063571700,4351,2750112309,1313459391
4,전통시장,중랑동부시장,시계및귀금속,7532991,28,3528920,4004071
4,전통시장,방천골목시장,시계및귀금속,218813908,128,217034347,1779561
4,전통시장,전곡시장,시계및귀금속,6309649,31,2878351,3431298
4,전통시장,사가정시장,시계및귀금속,24912860,116,18345242,6567618
4,전통시장,우림골목시장,가전제품,22054277,264,16905257,5149020
4,전통시장,도화동 상점가,시계및귀금속,209340025,570,180015219,29324806
4,전통시장,창동신창시장,시계및귀금속,76742172,183,19404865,57337307
4,전통시장,고척근린시장,가구,394154867,843,200059783,194095084
4,전통시장,우림골목시장,가구,81657009,346,56595681,25061328
4,전통시장,행당시장상점가,시계및귀금속,53330383,197,37766658,15563725
4,전통시장,인현시장,시계및귀금속,3989704,103,3346204,643500
4,발달상권,석촌고분역,시계및귀금속,7187088,91,4792087,2395001
4,발달상권,잠실역,시계및귀금속,1900109138,3581,1815491478,84617660
4,전통시장,신곡종합시장(신월6동 골목시장),시계및귀금속,73254504,367,57207687,16046817
4,전통시장,전농로터리시장,가구,17990379,39,11544629,6445750
4,전통시장,소공지하도상가,시계및귀금속,149234097,1931,149234097,0
4,전통시장,수일시장,시계및귀금속,87074328,209,86979154,95174
4,전통시장,"솔샘시장(미아6,7동골목시장)",시계및귀금속,113565766,506,93203993,20361773
4,전통시장,공릉동 도깨비시장,시계및귀금속,4235599,31,1429190,2806409
4,전통시장,회기시장,시계및귀금속,12866418,276,10417315,2449103
4,전통시장,장위전통시장,시계및귀금속,27868161,61,23570097,4298064
4,전통시장,서울중앙시장(신중앙시장),가구,14171216036,25790,12989602982,1181613054
4,전통시장,불광먹자골목 골목형상점가,시계및귀금속,39886692,208,37107610,2779082
4,전통시장,암사종합시장,시계및귀금속,14272120,78,12755969,1516151
4,전통시장,왕십리도선동상점가,시계및귀금속,38137180,101,35564618,2572562
4,전통시장,신영시장,시계및귀금속,38325399,283,27994079,10331320
4,전통시장,제일평화시장,시계및귀금속,152533333,320,152533333,0
4,골목상권,암사역 1번,시계및귀금속,89964006,282,78563114,11400892
4,전통시장,까치산시장,시계및귀금속,103421501,526,60045218,43376283
4,전통시장,선유도역 골목형상점가,시계및귀금속,723817581,1171,714474818,9342763
4,전통시장,영등포유통상가,가전제품,183693709,750,111018790,72674919
4,전통시장,중부시장(신중부시장),가구,7059804848,158652,6933247891,126556957
4,전통시장,"동원전통종합시장(동원시장, 동원전통시장 상점가)",가구,210334953,591,166979976,43354977
4,전통시장,방이시장,시계및귀금속,25896817,210,16882710,9014107
4,전통시장,엔터식스 강남점,시계및귀금속,2781460,6,2781460,0
4,전통시장,고척골목시장상점가(그라운드 고척),시계및귀금속,15493220,30,9498526,5994694
4,전통시장,석촌시장,시계및귀금속,123046875,148,111662947,11383928
4,전통시장,남성사계시장(남성시장),시계및귀금속,85750412,549,74149294,11601118
4,전통시장,미성동 도깨비시장 골목형상점가,시계및귀금속,17102798,67,16369821,732977
4,전통시장,관악신사시장,시계및귀금속,24280012,178,17726317,6553695
4,골목상권,신월3동주민센터,시계및귀금속,4005055,59,2635342,1369713
4,전통시장,문정동 로데오거리 상점가(문정동 로데오거리),시계및귀금속,2952900,114,2952900,0
4,전통시장,상도도깨비 골목형상점가,시계및귀금속,1951890,69,1264605,687285
4,관광특구,명동 남대문 북창동 다동 무교동 관광특구,시계및귀금속,16332953988,77525,12451241719,3881712269
4,관광특구,명동 남대문 북창동 다동 무교동 관광특구,가구,17579569,91,17579569,0
4,골목상권,면목동우체국,가전제품,29437639,721,24374291,5063348
4,골목상권,암사역 2번(서울강동초등학교),시계및귀금속,369414,14,369414,0
4,골목상권,금천금빛공원(은행나무사거리서측),가구,25498891,133,23414634,2084257
4,골목상권,창2동주민센터,시계및귀금속,7354153,18,5046968,2307185
4,골목상권,염곡동 구룡사(포이동성당),가구,73000000,35,73000000,0
4,골목상권,서강대역 1번,가전제품,289859,9,0,289859
4,골목상권,포이초등학교(개포목련어린이공원),가구,378514001,6730,127142567,251371434
4,골목상권,문성초등학교,가구,155465012,397,102742733,52722279
4,골목상권,하나고등학교,가구,2000000,28,1729730,270270
4,골목상권,인수동 우편취급국,가구,104761584,256,66504158,38257426
4,골목상권,수락산역 4번,시계및귀금속,87187,9,0,87187
4,골목상권,양지어린이공원,시계및귀금속,21143296,125,20169957,973339
4,골목상권,방학초등학교,시계및귀금속,46076760,330,45017380,1059380
4,골목상권,경춘선숲길 우측,시계및귀금속,3762802,70,3762802,0
4,골목상권,포이초등학교(개포목련어린이공원),가전제품,202607899,861,202607899,0
4,골목상권,중화역 4번,시계및귀금속,9210426,54,2524140,6686286
4,골목상권,먹골역 1번,가구,246844782,329,140375295,106469487
4,골목상권,구산역 1번,가구,169288173,248,118852728,50435445
4,골목상권,숭곡초등학교,시계및귀금속,53832632,52,53283157,549475
4,골목상권,인헌고등학교(인헌중학교),시계및귀금속,39455642,350,32601844,6853798
4,골목상권,장안중학교,시계및귀금속,42530466,97,27897116,14633350
4,골목상권,새절역 2번,시계및귀금속,10124007,30,10124007,0
4,골목상권,삼양입구사거리,가구,1729858,6,1729858,0
4,골목상권,도봉구보건소,시계및귀금속,83105026,655,81314532,1790494
4,골목상권,수유시장옆,시계및귀금속,3845488,36,3845488,0
4,골목상권,수송초등학교,가구,2561654,21,2561654,0
4,골목상권,상계역,시계및귀금속,553846,38,553846,0
4,골목상권,구산보건지소,시계및귀금속,573099,164,573099,0
4,골목상권,러스크서울병원,시계및귀금속,16550940,60,11569749,4981191
4,골목상권,중랑역 1번,가구,625933,28,625933,0
4,골목상권,망우본동주민센터,시계및귀금속,31004447,190,30549459,454988
4,골목상권,종암동주민센터,시계및귀금속,93851563,1059,55414063,38437500
4,골목상권,건대입구역 6번,시계및귀금속,15858542,116,15858542,0
4,골목상권,등촌3동주민센터,시계및귀금속,21148540,348,18704022,2444518
4,골목상권,응암정보도서관,가전제품,765683,23,765683,0
4,골목상권,경신고등학교,시계및귀금속,22461341,170,6854606,15606735
4,골목상권,홍릉시장,가전제품,2282727273,3182,2075909091,206818182
4,골목상권,염창역 2번,가전제품,40724,14,20362,20362
4,골목상권,장안1동주민센터,가전제품,189667944,631,164752347,24915597
4,골목상권,양천향교역 5번,가구,1071073629,1335,1071073629,0
4,골목상권,뜸부기어린이공원,시계및귀금속,72166,8,72166,0
4,골목상권,해방촌예술마을,가전제품,50449379,459,48845051,1604328
4,골목상권,동묘앞역 2번,시계및귀금속,10024822,28,10024822,0
4,골목상권,해오름공원,가구,58923803,474,40460660,18463143
4,골목상권,연희임광아파트,가구,138835979,116,0,138835979
4,골목상권,논현2동주민센터,가전제품,5062587,6,0,5062587
4,골목상권,방화역 3번,시계및귀금속,39982072,714,38248824,1733248
4,골목상권,명지대학교교회,시계및귀금속,148352,15,0,148352
4,골목상권,태릉시장 특화거리,가전제품,45031660,292,35183095,9848565
4,골목상권,청담초등학교,시계및귀금속,3016993308,3037,1675597792,1341395516
4,골목상권,마천역(마천초등학교),시계및귀금속,75480164,385,35554838,39925326
4,골목상권,장훈고등학교,가구,8975715,102,8975715,0
4,골목상권,대청초등학교,시계및귀금속,138158488,277,133289889,4868599
4,골목상권,대림성모병원,시계및귀금속,7458209,113,7032836,425373
4,골목상권,성수119안전센터,시계및귀금속,9961064,20,9927463,33601
4,골목상권,삼성중앙역 7번,시계및귀금속,5000000,11,5000000,0
4,골목상권,남영역 1번,가전제품,199744817,99,199744817,0
4,골목상권,오류2동버들시장,시계및귀금속,26980085,82,26850946,129139
4,골목상권,목동보건지소,시계및귀금속,7914926,211,6810518,1104408
4,골목상권,아현역 2번,시계및귀금속,1926339,45,1808504,117835
4,골목상권,자양4동주민센터,시계및귀금속,12000000,8,12000000,0
